cust_id,lookalikes
C0001,"[('C0152', 0.9995), ('C0174', 0.9989), ('C0085', 0.9945)]"
C0002,"[('C0159', 0.9986), ('C0134', 0.993), ('C0106', 0.8784)]"
C0003,"[('C0195', 0.9971), ('C0031', 0.997), ('C0129', 0.995)]"
C0004,"[('C0012', 0.9981), ('C0148', 0.9958), ('C0001', 0.9844)]"
C0005,"[('C0140', 0.9994), ('C0007', 0.9979), ('C0146', 0.8828)]"
C0006,"[('C0187', 0.9984), ('C0108', 0.9957), ('C0076', 0.9951)]"
C0007,"[('C0005', 0.9979), ('C0140', 0.9964), ('C0146', 0.884)]"
C0008,"[('C0046', 0.9975), ('C0122', 0.9975), ('C0194', 0.9968)]"
C0009,"[('C0198', 0.9981), ('C0066', 0.9809), ('C0044', 0.8777)]"
C0010,"[('C0132', 0.9909), ('C0061', 0.9831), ('C0124', 0.8727)]"
C0011,"[('C0107', 0.9998), ('C0126', 0.9994), ('C0155', 0.9955)]"
C0012,"[('C0148', 0.9994), ('C0004', 0.9981), ('C0001', 0.9923)]"
C0013,"[('C0155', 0.9993), ('C0099', 0.9988), ('C0087', 0.9981)]"
C0014,"[('C0060', 0.9865), ('C0089', 0.958), ('C0062', 0.822)]"
C0015,"[('C0131', 0.997), ('C0160', 0.9739), ('C0038', 0.9718)]"
C0016,"[('C0183', 0.9962), ('C0029', 0.9827), ('C0034', 0.9782)]"
C0017,"[('C0053', 0.9987), ('C0041', 0.9982), ('C0182', 0.9979)]"
C0018,"[('C0047', 0.9944), ('C0035', 0.9893), ('C0065', 0.9877)]"
C0019,"[('C0070', 0.998), ('C0023', 0.9794), ('C0127', 0.8813)]"
C0020,"[('C0050', 0.8438), ('C0125', 0.8348), ('C0072', 0.8107)]"
